City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,qaanaaq,1,GL,1557885901,75,77.48,-69.36,15.57,0.58
1,cape town,0,ZA,1557885769,93,-33.93,18.42,64.0,5.82
2,beringovskiy,91,RU,1557885901,94,63.05,179.32,31.53,10.07
3,jamestown,0,AU,1557885902,31,-33.21,138.6,67.14,5.23
4,zaysan,100,KZ,1557885668,83,47.47,84.87,35.98,14.67
5,durban,0,FR,1557885824,81,43.54,0.58,55.4,4.7
6,acaponeta,65,MX,1557885902,64,22.49,-105.36,72.72,1.48
7,porto novo,75,BR,1557885600,82,-23.68,-45.44,66.2,6.93
8,killybegs,58,IE,1557885725,69,54.63,-8.45,50.0,3.0
9,hermanus,100,ZA,1557885750,93,-34.42,19.24,62.01,3.0
10,kahului,75,US,1557885719,66,20.89,-156.47,86.0,16.11
11,grindavik,75,IS,1557883800,93,63.84,-22.43,48.2,28.86
12,bluff,47,AU,1557885904,46,-23.58,149.07,80.02,16.04
13,new norfolk,40,AU,1557885884,45,-42.78,147.06,64.4,10.29
14,georgetown,20,GY,1557882000,74,6.8,-58.16,82.4,9.17
15,newtownards,83,GB,1557885726,76,54.59,-5.69,50.0,4.74
16,bredasdorp,12,ZA,1557885705,82,-34.53,20.04,64.4,11.41
17,hilo,90,US,1557885870,69,19.71,-155.08,81.0,8.05
18,busselton,65,AU,1557885907,64,-33.64,115.35,69.12,6.4
19,mount gambier,75,AU,1557882000,71,-37.83,140.78,57.2,4.7
20,ushuaia,75,AR,1557882000,86,-54.81,-68.31,41.0,5.41
21,nelson bay,75,AU,1557885650,68,-32.72,152.14,70.0,9.17
22,kudat,75,MY,1557882000,70,6.89,116.84,87.8,6.93
23,hobart,40,AU,1557885619,45,-42.88,147.33,64.4,10.29
24,carnarvon,0,ZA,1557885908,41,-30.97,22.13,59.83,8.55
25,vila franca do campo,20,PT,1557885882,76,37.72,-25.43,57.2,6.93
26,rocha,0,UY,1557885909,88,-34.48,-54.34,52.25,3.38
27,punta arenas,75,CL,1557885789,93,-53.16,-70.91,42.8,6.93
28,turhal,0,TR,1557883200,87,40.38,36.08,46.4,3.47
29,puerto ayora,47,EC,1557885718,95,-0.74,-90.35,75.99,7.76
30,amod,0,IN,1557883800,78,21.99,72.87,82.4,6.93
31,rikitea,10,PF,1557885910,75,-23.12,-134.97,76.21,8.81
32,lavrentiya,94,RU,1557885910,99,65.58,-170.99,32.41,7.09
33,kavieng,100,PG,1557885911,71,-2.57,150.8,83.95,2.91
